balldontlie_game_id,id,date,home_starter_id,away_starter_id,home_starter_full_name,away_starter_full_name,home_starter_team_id,away_starter_team_id,home_starter_team_abbreviation,away_starter_team_abbreviation,home_starter_season,away_starter_season,home_starter_postseason,away_starter_postseason,home_starter_season_type,away_starter_season_type,home_starter_pitching_gp,away_starter_pitching_gp,home_starter_pitching_gs,away_starter_pitching_gs,home_starter_pitching_ip,away_starter_pitching_ip,home_starter_ip_per_gs,away_starter_ip_per_gs,home_ip_per_gs_rolling_5,away_ip_per_gs_rolling_5,home_starter_pitching_qs,away_starter_pitching_qs,home_starter_qs_rate,away_starter_qs_rate,home_starter_pitching_w,away_starter_pitching_w,home_starter_pitching_l,away_starter_pitching_l,home_starter_win_pct,away_starter_win_pct,home_starter_pitching_h,away_starter_pitching_h,home_starter_h_per_9,away_starter_h_per_9,home_starter_pitching_er,away_starter_pitching_er,home_starter_pitching_era,away_starter_pitching_era,home_era_rolling_5,away_era_rolling_5,home_era_rolling_10,away_era_rolling_10,home_starter_pitching_hr,away_starter_pitching_hr,home_starter_hr_per_9,away_starter_hr_per_9,home_hr_per_9_rolling_10,away_hr_per_9_rolling_10,home_starter_pitching_bb,away_starter_pitching_bb,home_starter_bb_per_9,away_starter_bb_per_9,home_bb_per_9_rolling_5,away_bb_per_9_rolling_5,home_starter_pitching_whip,away_starter_pitching_whip,home_whip_rolling_5,away_whip_rolling_5,home_whip_rolling_10,away_whip_rolling_10,home_starter_pitching_k,away_starter_pitching_k,home_starter_pitching_k_per_9,away_starter_pitching_k_per_9,home_k_per_9_rolling_5,away_k_per_9_rolling_5,home_k_per_9_rolling_10,away_k_per_9_rolling_10,home_starter_k_bb_ratio,away_starter_k_bb_ratio,home_k_bb_ratio_rolling_5,away_k_bb_ratio_rolling_5,home_k_bb_ratio_rolling_10,away_k_bb_ratio_rolling_10,home_starter_pitching_sv,away_starter_pitching_sv,home_starter_pitching_hld,away_starter_pitching_hld,home_starter_pitching_war,away_starter_pitching_war
1837,778551,2025-03-27,543243,641154,Sonny Gray,Pablo López,138,142,STL,MIN,,,0,0,regular,regular,0,0,0,0,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,,
1838,778559,2025-03-27,664285,605280,Framber Valdez,Clay Holmes,117,121,HOU,NYM,,,0,0,regular,regular,0,0,0,0,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,,
1839,778545,2025-03-27,650633,519242,Michael King,Chris Sale,135,144,SD,ATL,,,0,0,regular,regular,0,0,0,0,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,,
1840,778552,2025-03-27,668678,657006,Zac Gallen,Justin Steele,109,112,AZ,CHC,,2025.0,0,0,regular,regular,0,1,0,1,0.0,4.0,0.0,4.0,,4.0,0,0,0.0,0.0,0,0,0,1,0.0,0.0,0,5,0.0,11.25,0,5,0.0,11.25,0.0,11.25,0.0,11.25,0,2,0.0,4.5,0.0,4.5,0,1,0.0,2.25,0.0,2.25,0.0,1.5,0.0,1.5,0.0,1.5,0,5,0.0,11.25,0.0,11.25,0.0,11.25,0.0,5.0,0.0,5.0,0.0,5.0,0,0,0,0,,
1841,778546,2025-03-27,605483,669373,Blake Snell,Tarik Skubal,119,116,LAD,DET,,,0,0,regular,regular,0,0,0,0,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,,
1842,778547,2025-03-27,669302,622663,Logan Gilbert,Luis Severino,136,133,SEA,ATH,,,0,0,regular,regular,0,0,0,0,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,,
1829,778560,2025-03-28,686752,607536,Ryan Pepiot,Kyle Freeland,139,115,TB,COL,,,0,0,regular,regular,0,0,0,0,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,,
1991,778549,2025-03-28,592332,450203,Kevin Gausman,Charlie Morton,141,110,TOR,BAL,,,0,0,regular,regular,0,0,0,0,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,,
1992,778548,2025-03-28,687362,656605,Connor Gillispie,Mitch Keller,146,134,MIA,PIT,,,0,0,regular,regular,0,0,0,0,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,,
1993,778550,2025-03-28,683004,656557,Jack Leiter,Tanner Houck,140,111,TEX,BOS,,,0,0,regular,regular,0,0,0,0,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,,
1994,778542,2025-03-28,656302,625643,Dylan Cease,Reynaldo López,135,144,SD,ATL,,,0,0,regular,regular,0,0,0,0,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,,
1995,778543,2025-03-28,518876,592791,Merrill Kelly,Jameson Taillon,109,112,AZ,CHC,,,0,0,regular,regular,0,0,0,0,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,,
1996,778544,2025-03-28,808967,656427,Yoshinobu Yamamoto,Jack Flaherty,119,116,LAD,DET,2025.0,,0,0,regular,regular,1,0,1,0,5.0,0.0,5.0,0.0,5.0,,0,0,0.0,0.0,1,0,0,0,1.0,0.0,3,0,5.4,0.0,1,0,1.8,0.0,1.8,0.0,1.8,0.0,0,0,0.0,0.0,0.0,0.0,1,0,1.8,0.0,1.8,0.0,0.8,0.0,0.8,0.0,0.8,0.0,4,0,7.2,0.0,7.2,0.0,7.2,0.0,4.0,0.0,4.0,0.0,4.0,0.0,0,0,0,0,,
1997,778541,2025-03-28,622491,605488,Luis Castillo,Jeffrey Springs,136,133,SEA,ATH,,,0,0,regular,regular,0,0,0,0,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,,
58715,778518,2025-03-28,686613,656731,Hunter Brown,Tylor Megill,117,121,HOU,NYM,,,0,0,regular,regular,0,0,0,0,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,,
2327,778536,2025-03-29,453286,665152,Max Scherzer,Dean Kremer,141,110,TOR,BAL,,,0,0,regular,regular,0,0,0,0,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,,
2328,778537,2025-03-29,641793,622608,Zack Littell,Antonio Senzatela,139,115,TB,COL,,,0,0,regular,regular,0,0,0,0,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,,
2329,778538,2025-03-29,608331,641482,Max Fried,Nestor Cortes,147,158,NYY,MIL,,,0,0,regular,regular,0,0,0,0,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,,
2330,778535,2025-03-29,663623,666200,Jake Irvin,Jesús Luzardo,120,143,WSH,PHI,,,0,0,regular,regular,0,0,0,0,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,,
2331,778539,2025-03-29,678368,663559,Valente Bellozo,Bailey Falter,146,134,MIA,PIT,,,0,0,regular,regular,0,0,0,0,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,,
2332,778540,2025-03-29,666157,434378,Nick Lodolo,Justin Verlander,113,137,CIN,SF,,,0,0,regular,regular,0,0,0,0,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,,
2333,778534,2025-03-29,686563,667755,Jonathan Cannon,José Soriano,145,108,CWS,LAA,,,0,0,regular,regular,0,0,0,0,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,,
2334,778531,2025-03-29,641816,621111,Tyler Mahle,Walker Buehler,140,111,TEX,BOS,,,0,0,regular,regular,0,0,0,0,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,,
2335,778529,2025-03-29,607625,668909,Seth Lugo,Gavin Williams,118,114,KC,CLE,,,0,0,regular,regular,0,0,0,0,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,,
2336,778528,2025-03-29,607200,657746,Erick Fedde,Joe Ryan,138,142,STL,MIN,,,0,0,regular,regular,0,0,0,0,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,,
2337,778530,2025-03-29,681293,656288,Spencer Arrighetti,Griffin Canning,117,121,HOU,NYM,,,0,0,regular,regular,0,0,0,0,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,,
2338,778520,2025-03-29,681190,680885,Randy Vásquez,Spencer Schwellenbach,135,144,SD,ATL,,,0,0,regular,regular,0,0,0,0,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,,
2339,778532,2025-03-29,694297,684007,Brandon Pfaadt,Shota Imanaga,109,112,AZ,CHC,,2025.0,0,0,regular,regular,0,1,0,1,0.0,4.0,0.0,4.0,,4.0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,4,0.0,9.0,0.0,9.0,0.0,1.0,0.0,1.0,0.0,1.0,0,2,0.0,4.5,0.0,4.5,0.0,4.5,0.0,0.5,0.0,0.5,0.0,0.5,0,0,0,0,,
2340,778533,2025-03-29,808963,681857,Roki Sasaki,Reese Olson,119,116,LAD,DET,2025.0,,0,0,regular,regular,1,0,1,0,3.0,0.0,3.0,0.0,3.0,,0,0,0.0,0.0,0,0,0,0,0.0,0.0,1,0,3.0,0.0,1,0,3.0,0.0,3.0,0.0,3.0,0.0,0,0,0.0,0.0,0.0,0.0,5,0,15.0,0.0,15.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,3,0,9.0,0.0,9.0,0.0,9.0,0.0,0.6,0.0,0.6,0.0,0.6,0.0,0,0,0,0,,
2341,778521,2025-03-29,682243,674370,Bryce Miller,Osvaldo Bido,136,133,SEA,ATH,,,0,0,regular,regular,0,0,0,0,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,,
2523,778525,2025-03-30,605135,608372,Chris Bassitt,Tomoyuki Sugano,141,110,TOR,BAL,,,0,0,regular,regular,0,0,0,0,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,,
2524,778524,2025-03-30,671737,663372,Taj Bradley,Ryan Feltner,139,115,TB,COL,,,0,0,regular,regular,0,0,0,0,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,,
